iter	Logloss
0	0.5992959026
1	0.5264064177
2	0.4707033753
3	0.4284801888
4	0.3956533491
5	0.3679903059
6	0.3469895756
7	0.3301116658
8	0.3190337002
9	0.3086499809
10	0.29933532
11	0.2913927756
12	0.2857914494
13	0.2819903699
14	0.2787828884
15	0.2757003225
16	0.2736456617
17	0.2710011582
18	0.2688959434
19	0.2674679687
20	0.2661135218
21	0.2651657285
22	0.2643828848
23	0.2634904746
24	0.2627410149
25	0.2617637424
26	0.2610353356
27	0.2600487413
28	0.2594532472
29	0.2590418917
30	0.2583901578
31	0.2579373256
32	0.2574796136
33	0.2572443204
34	0.2569289698
35	0.2564002966
36	0.2561356575
37	0.2558122866
38	0.2556413069
39	0.2552407312
40	0.2549401265
41	0.2547379303
42	0.254315239
43	0.2540215216
44	0.253818818
45	0.2536718981
46	0.253528424
47	0.2533253965
48	0.2530823123
49	0.2528814938
50	0.2527526854
51	0.2526141209
52	0.2522337726
53	0.2520827751
54	0.2519466526
55	0.2518506416
56	0.251671387
57	0.251532876
58	0.2513818673
59	0.2512370988
60	0.2511098156
61	0.2509558066
62	0.250721782
63	0.2505787735
64	0.2503366901
65	0.2501082577
66	0.2499764417
67	0.2499115263
68	0.2497948818
69	0.2494928512
70	0.2493722127
71	0.249291084
72	0.2491977851
73	0.2490361071
74	0.2489704725
75	0.2486653501
76	0.24855271
77	0.2484266932
78	0.2483323714
79	0.2482803851
80	0.2480425208
81	0.2477898644
82	0.247703601
83	0.247597591
84	0.2474364437
85	0.247364473
86	0.2472947945
87	0.2472064241
88	0.2470334969
89	0.2469286079
90	0.2468153685
91	0.2466559512
92	0.2465115705
93	0.2464272832
94	0.2462867742
95	0.2461923013
96	0.2460511207
97	0.245940355
98	0.2458698445
99	0.2457842803
