iter	Passed	Remaining
0	6	609
1	12	593
2	17	572
3	24	597
4	31	594
5	37	581
6	43	581
7	49	573
8	54	552
9	60	541
10	65	529
11	72	529
12	77	515
13	82	506
14	87	496
15	93	489
16	98	478
17	103	473
18	109	467
19	114	458
20	120	452
21	126	449
22	132	444
23	138	439
24	144	434
25	151	430
26	158	427
27	164	424
28	172	423
29	179	418
30	185	412
31	190	404
32	197	400
33	203	395
34	209	388
35	215	383
36	221	377
37	226	369
38	232	364
39	238	357
40	245	353
41	252	348
42	257	341
43	264	336
44	269	329
45	275	322
46	281	317
47	287	311
48	293	305
49	299	299
50	305	293
51	311	287
52	316	280
53	323	275
54	328	268
55	333	262
56	339	256
57	345	250
58	350	243
59	356	237
60	362	231
61	367	225
62	373	219
63	379	213
64	384	207
65	390	201
66	395	195
67	401	188
68	406	182
69	413	177
70	418	171
71	424	165
72	429	158
73	435	153
74	441	147
75	447	141
76	453	135
77	459	129
78	464	123
79	470	117
80	475	111
81	481	105
82	487	99
83	493	94
84	499	88
85	505	82
86	511	76
87	518	70
88	529	65
89	535	59
90	546	54
91	552	48
92	558	42
93	563	35
94	569	29
95	576	24
96	581	17
97	587	11
98	593	5
99	599	0
